['email'],['nombre'],['provincia'],['partido']
jose.alfaro@asamblea.go.cr,JOSÉ ALBERTO ALFARO JIMÉNEZ,2-Alajuela,Partido Movimiento Libertario (PML)
william.alvarado@asamblea.go.cr,WILLIAM ALVARADO BOGANTES,4-Heredia,Partido Unidad Social Cristiana (PUSC)
marta.arauz@asamblea.go.cr,MARTA ARABELA ARAUZ MORA,5-Guanacaste,Partido Liberación Nacional (PLN)
edgardo.araya@asamblea.go.cr,EDGARDO VINICIO ARAYA SIBAJA,2-Alajuela,Partido Frente Amplio (PFA)
michael.arce@asamblea.go.cr,MICHAEL JAKE ARCE SANCHO,2-Alajuela,Partido Liberación Nacional (PLN)
jorge.arguedas@asamblea.go.cr,JORGE ARTURO ARGUEDAS MORA,1-San José,Partido Frente Amplio (PFA)
carlos.arguedas@asamblea.go.cr,CARLOS MANUEL ARGUEDAS RAMÍREZ,1-San José,Partido Liberación Nacional (PLN)
ruperto.atencio@asamblea.go.cr,MARVIN ATENCIO DELGADO,1-San José,Partido Acción Ciudadana (PAC)
ronald.calvo@asamblea.go.cr,RONALD CALVO CANALES,5-Guanacaste,Partido Liberación Nacional (PLN)
jose.francisco.camacho@asamblea.go.cr,JOSÉ FRANCISCO CAMACHO LEIVA,3-Cartago,Partido Frente Amplio (PFA)
javier.cambronero@asamblea.go.cr,JAVIER FRANCISCO CAMBRONERO ARGUEDAS,2-Alajuela,Partido Acción Ciudadana (PAC)
epsy.campbell@asamblea.go.cr,EPSY ALEJANDRA CAMBELL BARR,1-San José,Partido Acción Ciudadana (PAC)
suray.carrillo@asamblea.go.cr,SURAY CARRILLO GUEVARA,5-Guanacaste,Partido Frente Amplio (PFA)
maureen.clarke@asamblea.go.cr,MAUREEN CECILIA CLARKE CLARKE,1-San José,Partido Liberación Nacional (PLN)
franklin.corella@asamblea.go.cr,FRANKLIN CORELLA VARGAS,2-Alajuela,Partido Acción Ciudadana (PAC)
ndiaz@asamblea.go.cr,NATALIA DÍAS QUINTANA,1-San José,Partido Movimiento Libertario (PML)
abelino.esquivel@asamblea.go.cr,ABELINO ESQUIVEL QUESADA,7-Limón,Partido Renovación Costarricense (PRC)
maureen.fallas@asamblea.go.cr,MAUREEN FALLAS FALLAS,1-San José,Partido Liberación Nacional (PLN)
ligia.fallas@asamblea.go.cr,LIGIA ELENA FALLAS RODRÍGUEZ,2-Alajuela,Partido Frente Amplio (PFA)
laura.garro@asamblea.go.cr,LAURA MARÍA GARRO SÁNCHEZ,6-Puntarenas,Partido Acción Ciudadana (PAC)
rolando.gonzalez@asamblea.go.cr,ROLANDO GONZÁLEZ ULLOA,2-Alajuela,Partido Liberación Nacional (PLN)
marcela.guerrero@asamblea.go.cr,MARCELA GUERRERO CAMPOS,1-San José,Partido Acción Ciudadana (PAC)
otto.guevara@asamblea.go.cr,OTTO GUEVARA GUTH,1-San José,Partido Movimiento Libertario (PML)
danny.hayling@asamblea.go.cr,DANNY HAYLING CARCACHE,7-Limón,Partido Liberación Nacional (PLN)
carlos.hernandez@asamblea.go.cr,CARLOS ENRIQUE HERNÁNDEZ ÁLVAREZ,6-Puntarenas,Partido Frente Amplio (PFA)
nidia.jimenez@asámblea.go.cr,NIDIA MARÍA JIMÉNEZ VÁSQUEZ,2-Alajuela,Partido Acción Ciudadana (PAC)
juan.Jimenez@asamblea.go.cr,JUAN LUIS JIMÉNEZ SUCCAR,1-San José,Partido Liberación Nacional (PLN)
olivier.jimenez@asamblea.go.cr,OLIVIER IBO JIMÉNEZ ROJAS,6-Puntarenas,Partido Liberación Nacional (PLN)
johnny.leiva@asamblea.go.cr,JOHNNY LEIVA BADILLA,5-Guanacaste,Partido Unidad Social Cristiana (PUSC)
oscar.lopez@asamblea.go.cr,ÓSCAR LÓPEZ,1-San José,Partido Accesibilidad Sin Exclusión (PASE)
alexandra.loria@asamblea.go.cr,ALEXANDRA LORIA BEECHE,1-San José,Partido Restauración Nacional (PRN)
